prod;price;img;tag;link
Placa de Vídeo RTX 4060 Ti Ventus MSI NVIDIA GeForce,  8 GB GDDR6, DLSS, Ray Tracing;3199.99;https://images.kabum.com.br/produtos/fotos/461395/placa-de-video-rtx-4060-ti-ventus-msi-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing_1684770175_m.jpg;Placa de Vídeo RTX 4060 Ti Ventus MSI NVIDIA GeForce,  8 GB GDDR6, DLSS, Ray Tracing;/produto/461395/placa-de-video-rtx-4060-ti-ventus-msi-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing
Placa de Vídeo RTX 4060 Ti OC Edition Asus NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - DUAL-RTX4060TI-O8G;3199.99;https://images.kabum.com.br/produtos/fotos/461387/placa-de-video-rtx-4060-ti-asus-dual-o8g-dual-rtx4060ti-o8g_1684866499_m.jpg;Placa de Vídeo RTX 4060 Ti OC Edition Asus NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - DUAL-RTX4060TI-O8G;/produto/461387/placa-de-video-rtx-4060-ti-oc-edition-asus-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-dual-rtx4060ti-o8g
Placa de Vídeo RTX 4060 Ti Gaming MSI NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing;3299.99;https://images.kabum.com.br/produtos/fotos/461394/placa-de-video-rtx-4060-ti-gaming-msi-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing_1684770186_m.jpg;Placa de Vídeo RTX 4060 Ti Gaming MSI NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing;/produto/461394/placa-de-video-rtx-4060-ti-gaming-msi-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing
Placa de Vídeo RTX 4060 Ti EX Galax NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - 46ISL8MD8AEX;3289.99;https://images.kabum.com.br/produtos/fotos/462198/placa-de-video-rtx-4060-ti-ex-galax-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-46isl8md8aex_1684873456_m.jpg;Placa de Vídeo RTX 4060 Ti EX Galax NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - 46ISL8MD8AEX;/produto/462198/placa-de-video-rtx-4060-ti-ex-galax-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-46isl8md8aex
Placa de Vídeo RTX 4060 Ti Click OC Galax NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing  - 46ISL8MD8COC;3199.99;https://images.kabum.com.br/produtos/fotos/462199/placa-de-video-rtx-4060-ti-click-oc-galax-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-46isl8md8coc_1684931957_m.jpg;Placa de Vídeo RTX 4060 Ti Click OC Galax NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing  - 46ISL8MD8COC;/produto/462199/placa-de-video-rtx-4060-ti-click-oc-galax-nvidia-geforce-8-gb-gddr6-dlss-ray-tracing-46isl8md8coc
Placa de Vídeo RTX 3060 Asus Dual O12G V2 NVIDIA GeForce, 12GB GDDR6, LHR, DLSS, Ray Tracing - DUAL-RTX3060-O12G-V2;2199.99;https://images.kabum.com.br/produtos/fotos/164854/placa-de-video-asus-nvidia-dual-rtx-3060-o12g-v2-15-gbps-12gb-gddr6-ray-tracing-dlss-90yv0gb2-m0na10_1623244899_m.jpg;Placa de Vídeo RTX 3060 Asus Dual O12G V2 NVIDIA GeForce, 12GB GDDR6, LHR, DLSS, Ray Tracing - DUAL-RTX3060-O12G-V2;/produto/164854/placa-de-video-rtx-3060-asus-dual-o12g-v2-nvidia-geforce-12gb-gddr6-lhr-dlss-ray-tracing-dual-rtx3060-o12g-v2
Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6  - 90-GA2RZZ-00UANF;1399.99;https://images.kabum.com.br/produtos/fotos/235984/placa-de-video-asrock-amd-radeon-rx-6600-cld-8g-8gb-90-ga2rzz-00uanf_1634738812_m.jpg;Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6  - 90-GA2RZZ-00UANF;/produto/235984/placa-de-video-rx-6600-cld-8g-asrock-amd-radeon-8gb-gddr6-90-ga2rzz-00uanf
Placa de Vídeo RX 6750 XT Mech 2X 12G OC MSI AMD, 12 GB GDDR6 - XT MECH 2X 12G OC;2499.99;https://images.kabum.com.br/produtos/fotos/417853/placa-de-video-rx-6750-xt-mech-2x-12g-oc-msi-amd-12-gb-gddr6-xt-mech-2x-12g-oc_1675857510_m.jpg;Placa de Vídeo RX 6750 XT Mech 2X 12G OC MSI AMD, 12 GB GDDR6 - XT MECH 2X 12G OC;/produto/417853/placa-de-video-rx-6750-xt-mech-2x-12g-oc-msi-amd-12-gb-gddr6-xt-mech-2x-12g-oc
Placa de Vídeo RTX 3050 XLR8 Gaming Revel Epic-X PNY GeForce, 8GB GDDR6, DLSS, Ray Tracing - VCG30508DFMPB;1699.99;https://images.kabum.com.br/produtos/fotos/367414/placa-de-video-pny-geforce-rtx-3050-xlr8-gaming-revel-epic-x-8gb-gddr6-ray-tracing-vcg30508dfmpb_1661283293_m.jpg;Placa de Vídeo RTX 3050 XLR8 Gaming Revel Epic-X PNY GeForce, 8GB GDDR6, DLSS, Ray Tracing - VCG30508DFMPB;/produto/367414/placa-de-video-rtx-3050-xlr8-gaming-revel-epic-x-pny-geforce-8gb-gddr6-dlss-ray-tracing-vcg30508dfmpb
Placa de Vídeo RTX 3060 Twin Edge OC Zotac Gaming GeForce, 12GB GDDR6, 15 Gbps, Ray Tracing - ZT-A30600H-10M;1999.99;https://images.kabum.com.br/produtos/fotos/148655/placa-de-video-zotac-gaming-geforce-rtx-3060-twin-edge-oc-15-gbps-12gb-gddr6-ray-tracing-zt-a30600h-10m_1613993479_m.jpg;Placa de Vídeo RTX 3060 Twin Edge OC Zotac Gaming GeForce, 12GB GDDR6, 15 Gbps, Ray Tracing - ZT-A30600H-10M;/produto/148655/placa-de-video-rtx-3060-twin-edge-oc-zotac-gaming-geforce-12gb-gddr6-15-gbps-ray-tracing-zt-a30600h-10m
